80,80, # demand points, # candidate sites
2,22
42,6
48,50
32,40
16,10
10,34
8,30
29,16
44,34
3,16
36,32
38,32
44,11
26,50
22,28
32,46
20,37
35,26
2,4
18,1
7,38
3,38
29,28
6,22
43,6
28,25
32,49
1,36
13,41
44,40
36,3
21,4
3,15
34,17
14,3
9,45
44,41
14,48
43,24
27,31
28,49
8,6
39,49
45,24
7,25
33,27
24,50
7,33
40,34
4,45
46,27
50,39
22,1
26,18
10,28
2,35
47,33
6,31
14,29
39,7
10,13
47,16
30,44
28,47
6,1
15,46
33,39
22,24
34,37
34,49
25,2
33,29
49,9
48,29
36,22
10,7
25,34
13,4
34,7
37,46
16,22
41,23
19,35
49,38
10,17
15,29
34,43
17,5
38,21
35,9
19,45
11,2
23,6
42,24
12,10
26,20
45,32
37,42
39,29
8,44
36,41
4,22
27,36
43,32
46,30
20,50
10,37
38,3
17,44
11,18
16,16
4,5
19,41
16,30
33,8
15,37
24,28
50,25
40,6
50,9
11,35
11,32
12,2
50,11
38,47
9,29
12,46
34,47
32,38
11,10
25,35
17,46
36,50
33,9
1,33
14,21
34,26
37,33
15,7
20,2
45,22
41,46
48,18
22,18
10,41
4,7
18,37
14,28
4,33
20,7
27,26
17,36
16,18
11,25
7,24
2,9
18,3
35,19
13,1
10,30
