100,400, # demand points, # candidate sites
2,22
42,6
48,50
32,40
16,10
10,34
8,30
29,16
44,34
3,16
36,32
38,32
44,11
26,50
22,28
32,46
20,37
35,26
2,4
18,1
7,38
3,38
29,28
6,22
43,6
28,25
32,49
1,36
13,41
44,40
36,3
21,4
3,15
34,17
14,3
9,45
44,41
14,48
43,24
27,31
28,49
8,6
39,49
45,24
7,25
33,27
24,50
7,33
40,34
4,45
46,27
50,39
22,1
26,18
10,28
2,35
47,33
6,31
14,29
39,7
10,13
47,16
30,44
28,47
6,1
15,46
33,39
22,24
34,37
34,49
25,2
33,29
49,9
48,29
36,22
10,7
25,34
13,4
34,7
37,46
16,22
41,23
19,35
49,38
10,17
15,29
34,43
17,5
38,21
35,9
19,45
11,2
23,6
42,24
12,10
26,20
45,32
37,42
39,29
8,44
36,41
4,22
27,36
43,32
46,30
20,50
10,37
38,3
17,44
11,18
16,16
4,5
19,41
16,30
33,8
15,37
24,28
50,25
40,6
50,9
11,35
11,32
12,2
50,11
38,47
9,29
12,46
34,47
32,38
11,10
25,35
17,46
36,50
33,9
1,33
14,21
34,26
37,33
15,7
20,2
45,22
41,46
48,18
22,18
10,41
4,7
18,37
14,28
4,33
20,7
27,26
17,36
16,18
11,25
7,24
2,9
18,3
35,19
13,1
10,30
30,18
50,2
24,49
32,10
40,39
16,33
4,11
30,8
37,4
11,37
29,32
18,41
43,10
8,27
43,35
23,47
50,6
23,3
4,27
23,44
30,1
44,9
34,18
12,16
3,29
48,35
6,12
26,24
35,16
4,29
43,21
18,16
40,3
37,19
17,2
3,24
32,11
32,26
19,46
22,3
36,4
10,36
21,11
32,20
38,28
36,47
40,31
15,41
36,35
16,29
3,7
3,33
38,5
28,19
12,41
21,15
40,4
29,33
34,8
40,19
47,17
18,22
16,40
47,28
18,38
10,42
33,46
9,30
45,30
49,22
40,38
43,41
42,29
40,7
13,23
42,38
9,32
25,16
14,27
12,29
26,22
2,31
23,43
33,24
43,16
24,12
8,2
38,42
42,21
6,46
3,9
26,39
32,12
17,22
33,50
17,50
30,41
39,28
50,5
41,22
35,18
1,15
50,37
10,47
36,12
16,12
35,34
25,14
37,13
44,31
7,35
28,24
15,26
50,44
1,20
28,1
9,5
32,3
10,35
2,47
39,3
24,13
31,15
44,1
19,34
42,15
8,22
26,4
29,40
36,24
4,48
48,39
10,9
16,39
13,30
29,18
10,33
48,36
25,43
6,18
25,13
32,17
34,11
5,22
50,21
26,31
16,8
27,41
43,3
47,6
48,17
48,31
17,35
48,32
22,49
29,44
12,6
16,28
24,35
29,10
50,22
20,23
16,3
36,2
21,35
5,13
38,34
7,11
47,39
29,26
34,35
39,27
42,9
7,21
36,44
44,15
50,4
31,46
31,14
4,36
7,9
45,10
1,13
20,9
34,33
42,20
14,7
30,14
37,20
31,40
37,6
10,26
41,47
13,29
42,33
29,37
13,25
11,17
12,25
27,35
5,48
29,48
36,14
8,19
29,50
50,19
44,3
18,43
14,20
49,47
36,27
41,1
45,13
43,26
39,23
38,33
40,23
7,7
42,7
33,6
38,49
28,23
37,7
49,27
23,1
40,21
15,39
31,30
17,24
42,36
2,27
8,42
26,6
37,28
18,35
46,5
22,20
5,38
29,9
7,32
43,11
50,26
25,46
30,30
19,24
5,37
45,35
30,43
10,49
16,21
12,7
37,36
31,17
39,33
10,38
13,33
38,6
18,32
23,36
39,32
48,47
48,20
26,46
16,42
13,44
21,26
37,16
37,26
48,27
14,46
46,26
24,45
27,37
9,36
15,13
49,41
7,22
1,28
3,37
41,17
19,4
17,27
14,1
35,47
27,4
16,44
35,31
23,46
38,37
23,10
44,26
14,2
25,11
34,31
31,41
22,38
47,38
7,37
17,33
43,27
37,50
33,40
1,41
39,37
42,14
23,30
43,17
20,41
48,28
44,35
43,36
43,2
28,10
24,8
6,30
5,28
14,6
39,44
48,3
25,44
1,4
16,7
35,13
48,26
5,3
24,48
50,1
15,27
21,34
39,19
17,17
4,32
16,41
24,36
2,16
7,40
22,29
33,35
18,17
15,43
